Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Sum (Tagalog + Ilocano),"Ratio, Ilocano-Tagalog",Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
59035,Vancouver Centre,British Columbia,"115,964",30,25.87009762,1050,905.4534166,1080,0.028571429,25,21.55841468,"5,980",5156.772792,570,491.5318547,"3,530",3044.048153,"4,815",4152.150667,950,819.2197579
59036,Vancouver East,British Columbia,"118,675",215,181.1670529,"2,345",1975.984833,"2,560",0.091684435,100,84.26374552,"2,425",2043.395829,505,425.5319149,"13,690",11535.70676,"3,155",2658.521171,520,438.1714767
59037,Vancouver Fraserview—South Burnaby,British Columbia,"117,482",585,497.9486219,"5,900",5022.04593,"6,485",0.099152542,210,178.7507874,"9,945",8465.126573,"6,605",5622.137859,"22,730",19347.64475,"2,420",2059.890026,595,506.4605642
59038,Vancouver Granville,British Columbia,"116,798",170,145.5504375,"2,315",1982.054487,"2,485",0.073434125,100,85.61790442,"9,590",8210.757034,"3,345",2863.918903,"10,855",9293.823524,"2,530",2166.132982,455,389.5614651
59039,Vancouver Kingsway,British Columbia,"116,499",830,712.4524674,7305,6270.44009,8135,0.113620808,225,193.134705,"4,455",3824.067159,"2,810",2412.037872,"22,095",18965.82803,"2,600",2231.778814,340,291.8479987
59040,Vancouver Quadra,British Columbia,"114,779",30,26.13718537,555,483.5379294,585,0.054054054,15,13.06859269,"17,165",14954.82623,485,422.5511635,"6,645",5789.38656,"2,015",1755.547618,565,492.2503245
59041,Vernon—Lake Country—Monashee,British Columbia,"108,606",15,13.81139164,390,359.0961825,405,0.038461538,20,18.41518885,175,161.1329024,830,764.2303372,170,156.5291052,415,382.1151686,80,73.66075539
59042,Victoria,British Columbia,"123,482",120,97.18015581,1345,1089.22758,1465,0.089219331,75,60.73759738,"1,975",1599.423398,535,433.261528,"1,385",1121.620965,"1,365",1105.424272,745,603.3268007
59043,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,"114,257",60,52.51319394,940,822.7067051,1000,0.063829787,65,56.88929343,"4,570",3999.754938,"1,365",1194.675162,925,809.5784066,"1,230",1076.520476,230,201.3005768
60001,Yukon,Yukon,"40,232",45,111.8512627,985,2448.299861,1030,0.045685279,75,186.4187711,130,323.12587,405,1006.661364,195,484.6888049,235,584.1121495,35,86.99542653
61001,Northwest Territories,Northwest Territories,"41,070",60,146.092038,790,1923.545167,850,0.075949367,60,146.092038,110,267.835403,140,340.881422,140,340.881422,115,280.0097395,145,353.0557585
62001,Nunavut,Nunavut,"36,858",10,27.13115199,185,501.9263118,195,0.054054054,0,0,25,67.82787997,10,27.13115199,20,54.26230398,55,149.2213359,40,108.524608
